ProbeName	groundControl	sim1G	spaceFlight
A_12_P162628	39.89280370370371	39.47087472222223	39.966132592592594
A_12_P100693	88259.05083333333	67598.8512962963	72775.45645370371
A_12_P156569	443.9491175925926	276.7738847222222	323.342199537037
A_12_P163897	34.26776648148149	35.15931324074075	32.98855703703703
A_12_P111686	574.2359907407407	744.3039416666667	919.3876259259259
A_12_P101018	2568.5857740740744	1925.4884120370373	2025.688588888889
A_12_P116924	3340.1239111111113	5028.180500000001	5248.518953703703
A_12_P119123	1383.0495925925927	1599.5375064814816	1510.419299074074
A_12_P108569	491.0981562962963	483.04429370370366	519.9908996296296
A_12_P112294	31.412985925925927	31.15336379629629	31.260952685185185
A_12_P100083	38.34782916666666	35.2902662037037	35.47682759259259
A_12_P108304	42.04593592592592	41.892347870370365	39.49462509259259
A_12_P146900	33.05283083333333	31.440868425925924	31.745494259259257
A_12_P139845	34976.208287037036	32905.70890740741	33595.34109259259
A_12_P177729	226.84274351851852	127.24972611111112	197.45745490740742
A_12_P145235	9986.999305555555	10121.431620370371	10362.594305555556
A_12_P157282	35.72548064814814	34.07231990740741	33.622351296296294
A_12_P165792	41.497819722222225	50.95578712962964	49.39300157407408
A_12_P119532	46.92345796296297	56.754039999999996	57.39413222222222
A_12_P101040	39.095848611111116	37.98055879629629	37.197468888888885
A_12_P109598	53.008955833333346	52.86474203703704	51.34206648148148
A_12_P153105	1118.2242740740742	2324.325175925926	1356.6269833333336
A_12_P114161	181.19584462962962	157.0331858333333	199.9187075
A_12_P118505	84.1545776851852	106.25986333333331	103.70577509259259
A_12_P153810	325.5893013888888	272.5702713888889	284.5053803703704
A_12_P118042	803.3396120370371	716.9733685185184	786.9425175925926
A_12_P174652	1332.1873166666667	840.4288537037037	1017.0651037037037
A_12_P113424	34.3137625	33.887169907407404	33.3106812962963
A_12_P105243	566.3775805555555	771.3663703703705	717.7807425925927
A_12_P160978	246.28705037037034	373.53168259259263	365.1686666666667
A_12_P145428	81.5138600925926	110.14113527777778	97.23071694444441
A_12_P108965	194.97366166666666	128.40302666666665	163.677997962963
A_12_P119507	2093.900792592593	2222.4815055555555	2083.916721296296
A_12_P132130	49.5671449074074	39.72600342592593	39.330270277777764
A_12_P118531	1197.508199074074	1049.3279194444442	1126.730260185185
A_12_P142471	165.44430546296297	144.15870953703703	157.38646675925926
A_12_P142790	1122.2950435185185	1171.2795222222223	1243.2260925925925
