ProbeName	groundControl	sim1G	spaceFlight
A_12_P104616	7241.406444444445	4313.278583333333	4228.347750000001
A_12_P119456	5591.923444444445	3411.9875	3620.3956944444444
A_12_P181519	234.19951111111115	140.6924402777778	135.63190583333326
A_12_P119774	805.3525333333333	725.1729936111111	325.4376252777778
A_12_P154580	1139.2808333333332	610.8160388888889	643.8164305555556
A_12_P142175	2531.8661111111114	1341.539277777778	1276.5993805555556
A_12_P112619	163.86125555555554	139.3270966666667	136.47316777777777
A_12_P146227	233080.45555555556	125202.03805555553	118293.90722222225
A_12_P112064	50.87554	26.990879999999997	33.81578861111111
A_12_P114347	691.4237999999999	280.8310063888888	353.7857166666667
A_12_P151519	89.84690222222223	49.71394305555556	51.85858555555556
A_12_P112139	6879.6073333333325	4071.5625833333324	3870.5525833333336
A_12_P155645	42.141354444444445	26.898192500000004	31.736658333333327
A_12_P107823	1455.6409	562.9099166666668	675.713111111111
A_12_P117958	51.60002444444444	29.18575833333333	33.07305138888889
A_12_P106693	38.53287111111111	24.644693055555557	27.53957305555555
A_12_P157620	52.13834555555556	29.959974444444452	34.02706555555555
A_12_P111308	46.51894444444444	27.849016388888888	31.47126277777778
A_12_P175757	207345.82222222222	113461.09305555557	105930.38833333334
A_12_P102143	4910.80488888889	2761.4848	2817.1158166666664
A_12_P111269	253.6275333333333	122.97887138888889	114.58926416666665
A_12_P153215	4086.703333333333	2379.665105555556	2377.8984722222217
A_12_P115769	723.8100888888889	453.73009444444443	441.2735611111112
A_12_P166226	168.32298888888891	87.235825	91.80627083333331
A_12_P165906	45.608582222222225	26.82647888888889	29.635284444444444
A_12_P104706	405.1904666666667	174.14431833333333	205.74219916666664
A_12_P179449	913.4214111111111	588.0201555555554	602.6096194444443
